customer_id,name,email,signup_date,city,state
1,Rudra Dixit,anay45@example.org,2026-02-15,Haldwani,Uttarakhand
2,Manthan Bala,palanwidisha@example.net,2026-02-14,Gyalshing,Sikkim
3,Fiyaz Krishnan,daliaxalak@example.com,2026-02-13,Bhopal,Madhya Pradesh
4,Benjamin Boase,sachisani@example.com,2026-01-29,Hyderabad,Telangana
5,Alka Sanghvi,chakradhar73@example.org,2026-01-21,Vasco da Gama,Goa
6,Pavani Bhakta,elijah75@example.net,2026-02-10,Nizamabad,Telangana
7,Chatresh Khosla,naiduishaan@example.net,2026-02-12,Kanpur,Uttar Pradesh
8,Chakrika Tailor,ekarajahluwalia@example.net,2026-02-05,Jamshedpur,Jharkhand
9,Logan Mishra,faqid95@example.com,2026-02-18,Panipat,Haryana
10,Abhiram Sandal,nihalsubramaniam@example.org,2026-01-23,Thoubal,Manipur
11,Alexander Sarkar,oni19@example.org,2026-02-10,Gaya,Bihar
12,Pranav Bhandari,dhalder@example.org,2026-01-31,Namchi,Sikkim
13,Manan Shetty,brarindali@example.net,2026-02-08,Udaipur,Rajasthan
14,Ijaya Loke,tamanna78@example.org,2026-02-04,Mysuru,Karnataka
15,Ikbal Murty,bwable@example.com,2026-02-09,Jamshedpur,Jharkhand
16,Manthan Chakraborty,jaibanerjee@example.net,2026-02-16,Panaji,Goa
17,Pallavi Chaudhary,chaitanya10@example.net,2026-02-07,Vasco da Gama,Goa
18,Daksha Thaman,lakshmidasgupta@example.org,2026-02-10,Ahmedabad,Gujarat
19,Ishaan Choudhury,dhritiloke@example.com,2026-01-21,Gyalshing,Sikkim
20,Sai Chada,rkade@example.net,2026-01-24,Dehradun,Uttarakhand
21,Manthan Pillay,karantata@example.com,2026-01-28,Chennai,Tamil Nadu
22,Brijesh Aggarwal,amara10@example.org,2026-02-13,Gurugram,Haryana
23,Laban Morar,jhaijaya@example.com,2026-02-03,Kochi,Kerala
24,Leela Palan,zbava@example.com,2026-02-07,Imphal,Manipur
25,Ubika Gulati,darajason@example.net,2026-02-15,Udaipur,Tripura
26,Saumya Pau,reyanshkoshy@example.com,2026-02-06,Noida,Uttar Pradesh
27,Jhalak Ramaswamy,smahajan@example.net,2026-01-30,Jowai,Meghalaya
28,Imaran Khalsa,iray@example.net,2026-02-12,Guntur,Andhra Pradesh
